tar_thresh,precision,recall,f1,tp,fp,fn
-13.711570739746094,0.00851063829787234,0.01,0.009195402298850575,2,233,198
-13.71935749053955,0.00847457627118644,0.01,0.009174311926605505,2,234,198
-13.723533630371094,0.008438818565400843,0.01,0.009153318077803204,2,235,198
-13.753311157226562,0.012605042016806723,0.015,0.0136986301369863,3,235,197
-13.810386657714844,0.012552301255230125,0.015,0.01366742596810934,3,236,197
-13.810602188110352,0.0125,0.015,0.013636363636363637,3,237,197
-13.817485809326172,0.012448132780082987,0.015,0.013605442176870748,3,238,197
-13.840812683105469,0.012396694214876033,0.015,0.013574660633484162,3,239,197
-13.842567443847656,0.012345679012345678,0.015,0.013544018058690745,3,240,197
-13.854267120361328,0.01639344262295082,0.02,0.018018018018018018,4,240,196
-13.864686965942383,0.0163265306122449,0.02,0.017977528089887642,4,241,196
-13.885422706604004,0.016260162601626018,0.02,0.017937219730941707,4,242,196
-13.885614395141602,0.016194331983805668,0.02,0.017897091722595074,4,243,196
-13.92751693725586,0.020161290322580645,0.025,0.02232142857142857,5,243,195
-13.963264465332031,0.020080321285140562,0.025,0.022271714922049,5,244,195
-13.981386184692383,0.02,0.025,0.022222222222222223,5,245,195
-14.013164520263672,0.02390438247011952,0.03,0.02660753880266075,6,245,194
-14.063416481018066,0.023809523809523808,0.03,0.026548672566371678,6,246,194
-14.07029914855957,0.023715415019762844,0.03,0.02649006622516556,6,247,194
-14.077954292297363,0.027559055118110236,0.035,0.03083700440528634,7,247,193
-14.136748313903809,0.027450980392156862,0.035,0.03076923076923077,7,248,193
-14.146228790283203,0.02734375,0.035,0.030701754385964914,7,249,193
-14.148011207580566,0.027237354085603113,0.035,0.03063457330415755,7,250,193
-14.166373252868652,0.027131782945736434,0.035,0.030567685589519653,7,251,193
-14.205266952514648,0.03088803088803089,0.04,0.034858387799564274,8,251,192
-14.228227615356445,0.03076923076923077,0.04,0.03478260869565217,8,252,192
-14.232348442077637,0.03065134099616858,0.04,0.03470715835140997,8,253,192
-14.356108665466309,0.030534351145038167,0.04,0.03463203463203463,8,254,192
-14.363914489746094,0.030418250950570342,0.04,0.0345572354211663,8,255,192
-14.387727737426758,0.030303030303030304,0.04,0.03448275862068965,8,256,192
-14.452228546142578,0.03018867924528302,0.04,0.034408602150537634,8,257,192
-14.457144737243652,0.03007518796992481,0.04,0.03433476394849785,8,258,192
-14.464853286743164,0.0299625468164794,0.04,0.034261241970021415,8,259,192
-14.496732711791992,0.033582089552238806,0.045,0.038461538461538464,9,259,191
-14.518085479736328,0.03345724907063197,0.045,0.038379530916844345,9,260,191
-14.541529655456543,0.037037037037037035,0.05,0.0425531914893617,10,260,190
-14.596795082092285,0.03690036900369004,0.05,0.042462845010615716,10,261,190
-14.605364799499512,0.03676470588235294,0.05,0.04237288135593221,10,262,190
-14.622040748596191,0.040293040293040296,0.055,0.046511627906976744,11,262,189
-14.625868797302246,0.043795620437956206,0.06,0.05063291139240507,12,262,188
-14.636849403381348,0.04727272727272727,0.065,0.05473684210526316,13,262,187
-14.641483306884766,0.050724637681159424,0.07,0.05882352941176471,14,262,186
-14.64194393157959,0.05415162454873646,0.075,0.06289308176100628,15,262,185
-14.648747444152832,0.05755395683453238,0.08,0.06694560669456068,16,262,184
-14.678476333618164,0.05734767025089606,0.08,0.06680584551148225,16,263,184
-14.684647560119629,0.05714285714285714,0.08,0.06666666666666667,16,264,184
